"keys","da"
"CA_CATITLE","Stunt Rally-mesterskab"
"CAERRTI","Fejl"
"CAFREEFM","Dette er ikke en gyldig bane."
"CN_CLSCANCEL","Annullér"
"CN_CLSDELETE","Slet bane"
"CN_CLSLOAD","Indlæs bane"
"CN_CLSSAVE","Gem bane"
"CN_CLSTITLE","Indlæs eller gem bane"
"CN_CNSVCNT2","Den aktuelle bane er ikke gemt. Hvis du indlæser en ny bane, går ændringer i den aktuelle bane tabt. Vil du fortsætte?"
"CN_CNSVCNTL","Banen ikke gemt!"
"CN_CNSVCNTX","Den aktuelle bane er ikke gemt. Vil du fortsætte?"
"CN_EXITTX","Tryk på mellemrum for at afslutte"
"CN_NEWTRACK","Ny bane"
"CS_CSTFLAM2","Tidligere ørkenmester"
"CS_CSTFLAMB","Ørkenmester"
"CS_CSTGLAC2","Tidligere arktisk mester"
"CS_CSTGLACI","Arktisk mester"
"CS_CSTMRX","Verdensmester"
"CS_CSTMRX2","Tidligere verdensmester"
"CS_CSTRADI2","Tidligere bymester"
"CS_CSTRADIU","Bymester"
"CS_CSTSNAK2","Tidligere junglemester"
"CS_CSTSNAKE","Junglemester"
"CSTITLE","Vælg din figur"
"CSTITLE1","Spiller 1: Vælg din figur"
"CSTITLE2","Spiller 2: Vælg din figur"
"CSTITLE3","Spiller 3: Vælg din figur"
"CSTITLE4","Spiller 4: Vælg din figur"
"CTTITLE","Controllerfunktioner"
"CW_CW16X16MAP","Kort for enkelt spiller"
"CW_CW8X8MAP","Kort for flere spillere"
"CW_CWCANCEL","Annullér"
"CW_CWTITLE","Start et nyt kort"
"DIBARNEY","Barney"
"DIBRAD","Brad Speedo"
"DICHIP","Chip"
"DIFLAMBO","Baron Flambo"
"DIGLACIA","Glacia"
"DILUCKY","Lucky"
"DIMEGAHU","Mega Hurtz"
"DIMRX","Mr X"
"DIRADIUM","Radium"
"DISANDY","Sandy Surf"
"DISID","Sid Vacant"
"DISNAKE","Snake"
"DISUBARN","-- placeholder --
Barney Info"
"DISUBRAD","-- placeholder --
Brad Speedo Info
(Has a really nice looking car!)"
"DISUCHIP","-- placeholder --
Chip Info"
"DISUFLAM","-- placeholder --
Car: Mean Machine
Home: Dark City
Loves: Cheating
Hates: Losing and Cherubs
Hobbies: Creating evil plans
Style: Dangerous
Special: Flaming exhaust"
"DISUGLAC","-- placeholder --
Glacia Info"
"DISULUCK","-- placeholder --
Lucky Info"
"DISUMEGA","-- placeholder --
Mega Hurtz Info"
"DISUMRX","-- placeholder --
Mr X Info"
"DISURADI","-- placeholder --
Radium Info"
"DISUSAND","-- placeholder --
Sandy Surf Info"
"DISUSID","-- placeholder --
Sid Info"
"DISUSNAK","-- placeholder --
Snake Info"
"DISUWREN","-- placeholder --
Wrench Info"
"DIWRENCH","Wrench"
"ER_ERTEXT","Vil du køre løbet igen?"
"ER_ERTITLE","Kør løb igen?"
"IR_IRRACEOVER","Løb forbi"
"IR_IRWINNER","V i n d e r"
"LOCAL3_EXTRAS_BDPRNTTL","Udskriftsfejl"
"LOCAL3_EXTRAS_BDPRNTTX","Udskrift kunne ikke gennemføres. Kontrollér venligst printeren."
"LOCAL3_EXTRAS_CONDELTL","Bekræft sletning af bane"
"LOCAL3_EXTRAS_CONDELTX","Er du sikker på, at du vil slette denne bane fuldstændigt?"
"LOCAL3_EXTRAS_CONSAFTL","Banen gemt"
"LOCAL3_EXTRAS_CONSAFTX","Din bane blev gemt."
