"keys","de"
"CA_CATITLE","Stunt Rally Meisterschaft"
"CAERRTI","Campaign Error"
"CAFREEFM","Dies ist keine gültige Rennstrecke"
"CN_CLSCANCEL","Abbruch"
"CN_CLSDELETE","Strecke löschen"
"CN_CLSLOAD","Rennstrecke laden"
"CN_CLSSAVE","Rennstrecke speichern"
"CN_CLSTITLE","Rennstrecke laden / speichern"
"CN_CNSVCNT2","Deine aktuelle Rennstrecke ist nicht gespeichert. Wenn du eine neue Strecke lädst, gehen Änderungen an deiner aktuellen Strecke verloren. Bist du sicher?"
"CN_CNSVCNTL","Rennstrecke nicht gespeichert!"
"CN_CNSVCNTX","Deine aktuelle Rennstrecke ist nicht gespeichert. Bist du sicher?"
"CN_EXITTX","Zum Beenden Leertaste drücken"
"CN_NEWTRACK","Neue Rennstrecke"
"CS_CSTFLAM2","Ex-Wüsten-Champion"
"CS_CSTFLAMB","Wüsten-Champion"
"CS_CSTGLAC2","Ex-Arktis-Champion"
"CS_CSTGLACI","Arktis-Champion"
"CS_CSTMRX","Weltmeister"
"CS_CSTMRX2","Ex-Weltmeister"
"CS_CSTRADI2","Ex-Stadt-Champion"
"CS_CSTRADIU","Stadt-Champion"
"CS_CSTSNAK2","Ex-Urwald-Champion"
"CS_CSTSNAKE","Urwald-Champion"
"CSTITLE","Wähle deinen Fahrer"
"CSTITLE1","Spieler 1: Wähle deinen Fahrer"
"CSTITLE2","Spieler 2: Wähle deinen Fahrer"
"CSTITLE3","Spieler 3: Wähle deinen Fahrer"
"CSTITLE4","Spieler 4: Wähle deinen Fahrer"
"CTTITLE","Steuerungsoptionen"
"CW_CW16X16MAP","Einzelspieler-Karte"
"CW_CW8X8MAP","Mehrspieler-Karte"
"CW_CWCANCEL","Abbruch"
"CW_CWTITLE","Neue Karte bauen"
"DIBARNEY","Barney"
"DIBRAD","Brad Speedo"
"DICHIP","Chip"
"DIFLAMBO","Baron Flambo"
"DIGLACIA","Glacia"
"DILUCKY","Lucky"
"DIMEGAHU","Mega Hurtz"
"DIMRX","Mr X"
"DIRADIUM","Radium"
"DISANDY","Sandy Surf"
"DISID","Sid Vacant"
"DISNAKE","Snake"
"DISUBARN","-- placeholder --
Barney Info"
"DISUBRAD","-- placeholder --
Brad Speedo Info
(Has a really nice looking car!)"
"DISUCHIP","-- placeholder --
Chip Info"
"DISUFLAM","-- placeholder --
Car: Mean Machine
Home: Dark City
Loves: Cheating
Hates: Losing and Cherubs
Hobbies: Creating evil plans
Style: Dangerous
Special: Flaming exhaust"
"DISUGLAC","-- placeholder --
Glacia Info"
"DISULUCK","-- placeholder --
Lucky Info"
"DISUMEGA","-- placeholder --
Mega Hurtz Info"
"DISUMRX","-- placeholder --
Mr X Info"
"DISURADI","-- placeholder --
Radium Info"
"DISUSAND","-- placeholder --
Sandy Surf Info"
"DISUSID","-- placeholder --
Sid Info"
"DISUSNAK","-- placeholder --
Snake Info"
"DISUWREN","-- placeholder --
Wrench Info"
"DIWRENCH","Wrench"
"ER_ERTEXT","Möchtest du dieses Rennen wiederholen?"
"ER_ERTITLE","Rennen wiederholen?"
"IR_IRRACEOVER","Geschafft!"
"IR_IRWINNER","S i e g e r"
"LOCAL3_EXTRAS_BDPRNTTL","Druckerfehler"
"LOCAL3_EXTRAS_BDPRNTTX","Beim Drucken hat es einen Fehler gegeben. Der Drucker muss überprüft werden."
"LOCAL3_EXTRAS_CONDELTL","Löschung bestätigen"
"LOCAL3_EXTRAS_CONDELTX","Soll die Strecke wirklich dauerhaft gelöscht werden?"
"LOCAL3_EXTRAS_CONSAFTL","Strecke gespeichert"
"LOCAL3_EXTRAS_CONSAFTX","Die Strecke wurde erfolgreich gespeichert."
"LOCAL3_EXTRAS_FNPRINTTTL","Druckvorgang abgeschlossen"
"LOCAL3_EXTRAS_FNPRINTTTX","Der Druckvorgang wurde abgeschlossen."
"LOCAL3_EXTRAS_PRINTINTL","Druckvorgang läuft"
"LOCAL3_EXTRAS_PRINTINTX","Bitte warten. LEGO Stunt Rally bearbeitet den Druckvorgang."
"LOCAL4_LSBDLDTL","Ladefehler"
"LOCAL4_LSBDLDTX","Stunt Rally hatte einen Ladefehler. Bitte überprüfen Sie Ihr Laufwerk."
"LOCAL4_LSDLERTL","Fehler beim Löschen"
"LOCAL4_LSDLERTX","Die Strecke konnte nicht gelöscht werden. Bitte stellen Sie sicher, dass weder Laufwerk noch Datei schreibgeschützt sind."
"LS_CLSTEXT","Do you wish to LOAD or SAVE a track?"
"LS_CLSTITLE","Load Or Save"
"LS_LDFTEXT","Bist du sicher, dass du diese Strecke löschen willst?"
"LS_LDFTITLE","Strecke wirklich löschen?"
"LS_LSETEXT","LEGO Stunt Rally konnte deine Rennstrecke nicht speichern. Bitte prüfe deine Diskette."
"LS_LSETITLE","Speicherfehler bei Strecke!"
"LS_LSLCITY","LStadt"
"LS_LSLDESERT","LWüste"
"LS_LSLICE","LArktis"
"LS_LSLJUNGLE","LUrwald"
"LS_LSOTEXT","Eine Streckendatei mit diesem Namen ist bereits vorhanden. Soll diese Datei überschrieben werden?"
"LS_LSOTITLE","Strecke überschreiben?"
"LS_LSSCITY","SStadt"
"LS_LSSDESERT","SWüste"
"LS_LSSICE","SArktis"
"LS_LSSJUNGLE","SUrwald"
"MM_MMCONSTR","Streckenbau"
"MM_MMQUTTTL","LEGO Stunt Rally beenden"
"MM_MMQUTTXT","Bist du sicher, dass du das Spiel beenden willst?"
"MM_MMRACE","Rennen"
"MPTITLE","Spielerzahl"
"OP_OPBALANCE","Lautstärke Musik"
"OP_OPCNTRTL","Steuerungskonflikt"
"OP_OPCNTRTX","Die selbe Steuerung ist mehreren Spielern zugeordnet. Bitte Steuerung neu auswählen."
"OP_OPEFFECTS","Grafik-Effekte"
"OP_OPPLAYER1","Spieler 1"
"OP_OPPLAYER2","Spieler 2"
"OP_OPPLAYER3","Spieler 3"
"OP_OPPLAYER4","Spieler 4"
"OP_OPRESCHNG","Bitte hab einen Moment Geduld, während LEGO Stunt Rally neu gestartet wird."
"OP_OPRESOLUTION","Bildauflösung"
"OP_OPRESTL","Bildauflösung ändern"
"OP_OPTITLE","Spiel-Optionen"
"OP_OPVOLUME","Effekt-Lautstärke"
"OP_RESFAILTL","Fehler bei Bildmoduswechsel"
"OP_RESFAILTX","Sorry, LEGO Stunt Rally 800 x 600-Bildpunkte werden auf diesem Computer nicht unterstützt."
"OTHER_HEADIN3P","Stecke kann nicht geladen werden"
"OTHER_IRDEMOMD","Demo-Modus"
"OTHER_MULTI3P","Strecke kann im Streckenbau-Modus nicht geladen werden:  Sie enthält LEGO-Elemente, die du erst gewinnen musst.  Du kannst die Strecke nur spielen, wenn du sie im Mehrspieler-Modus lädst."
"OTHER_NOTRAKTL","Keine Strecken gefunden"
"OTHER_NOTRAKTX","Es wurden keine LEGO Stunt Rally-Strecken gefunden."
