"keys","en"
"CA_CATITLE","Stunt Rally Championship"
"CAERRTI","Campaign Error"
"CAFREEFM","This is not a valid track."
"CN_CLSCANCEL","Cancel"
"CN_CLSDELETE","Delete Track"
"CN_CLSLOAD","Load Track"
"CN_CLSSAVE","Save Track"
"CN_CLSTITLE","Load, Save or Delete Track"
"CN_CNSVCNT2","Your current track has not been saved. If you load a new track then any changes to your current track will be lost. Do you want to continue?"
"CN_CNSVCNTL","Track not saved!"
"CN_CNSVCNTX","Your current track has not been saved. Do you want to continue?"
"CN_EXITTX","press space bar to exit."
"CN_NEWTRACK","New Track"
"CS_CSTFLAM2","Former Desert Champion"
"CS_CSTFLAMB","Desert Champion"
"CS_CSTGLAC2","Former Artic Champion"
"CS_CSTGLACI","Artic Champion"
"CS_CSTMRX","World Champion"
"CS_CSTMRX2","Former World Champion"
"CS_CSTRADI2","Former City Champion"
"CS_CSTRADIU","City Champion"
"CS_CSTSNAK2","Former Jungle Champion"
"CS_CSTSNAKE","Jungle Champion"
"CSTITLE","Choose your character"
"CSTITLE1","Player 1: Choose your character"
"CSTITLE2","Player 2: Choose your character"
"CSTITLE3","Player 3: Choose your character"
"CSTITLE4","Player 4: Choose your character"
"CTTITLE","Controller Options"
"CW_CW16X16MAP","Single Player Map"
"CW_CW8X8MAP","Multi Player Map"
"CW_CWCANCEL","Cancel"
"CW_CWTITLE","Start A New Map"
"DIBARNEY","Barney"
"DIBRAD","Brad Speedo"
"DICHIP","Chip"
"DIFLAMBO","Baron Flambo"
"DIGLACIA","Glacia"
"DILUCKY","Lucky"
"DIMEGAHU","Mega Hurtz"
"DIMRX","Mr X"
"DIRADIUM","Radium"
"DISANDY","Sandy Surf"
"DISID","Sid Vacant"
"DISNAKE","Snake"
"DISUBARN","-- placeholder --
Barney Info"
"DISUBRAD","-- placeholder --
Brad Speedo Info
(Has a really nice looking car!)"
"DISUCHIP","-- placeholder --
Chip Info"
"DISUFLAM","-- placeholder --
Car: Mean Machine
Home: Dark City
Loves: Cheating
Hates: Losing and Cherubs
Hobbies: Creating evil plans
Style: Dangerous
Special: Flaming exhaust"
"DISUGLAC","-- placeholder --
Glacia Info"
"DISULUCK","-- placeholder --
Lucky Info"
"DISUMEGA","-- placeholder --
Mega Hurtz Info"
"DISUMRX","-- placeholder --
Mr X Info"
"DISURADI","-- placeholder --
Radium Info"
"DISUSAND","-- placeholder --
Sandy Surf Info"
"DISUSID","-- placeholder --
Sid Info"
"DISUSNAK","-- placeholder --
Snake Info"
"DISUWREN","-- placeholder --
Wrench Info"
"DIWRENCH","Wrench"
"ER_ERTEXT","Do you wish to retry this race?"
"ER_ERTITLE","Retry Race?"
"IR_IRRACEOVER","Race Over"
"IR_IRWINNER","W i n n e r"
"LOCAL3_EXTRAS_BDPRNTTL","Printing Error"
"LOCAL3_EXTRAS_BDPRNTTX","Printing was not completed successfully. Please check your printer."
"LOCAL3_EXTRAS_CONDELTL","Confirm Track Deletion"
"LOCAL3_EXTRAS_CONDELTX","Are you sure you wish to permanently delete this track?"
"LOCAL3_EXTRAS_CONSAFTL","Track Saved"
"LOCAL3_EXTRAS_CONSAFTX","Your track has been successfully saved."
"LOCAL3_EXTRAS_FNPRINTTTL","Printing Finished"
"LOCAL3_EXTRAS_FNPRINTTTX","Printing has been completed."
"LOCAL3_EXTRAS_PRINTINTL","Printing In Progress"
"LOCAL3_EXTRAS_PRINTINTX","Please wait while LEGO Stunt Rally completes your printing request."
"LOCAL4_LSBDLDTL","Load Error"
"LOCAL4_LSBDLDTX","Stunt Rally was unable to load from your disk. Please check your disk."
"LOCAL4_LSDLERTL","Delete Failure"
"LOCAL4_LSDLERTX","Unable to delete your track. Please check that the disk or file is not write-protected."
"LS_CLSTEXT","Do you wish to LOAD or SAVE a track?"
"LS_CLSTITLE","Load Or Save"
"LS_LDFTEXT","Are you sure you want to delete this track?"
"LS_LDFTITLE","Confirm Track Delete"
"LS_LSETEXT","LEGO Stunt Rally was unable to save your track. Please check your Disk."
"LS_LSETITLE","Track Save Failure!"
"LS_LSLCITY","L-City"
"LS_LSLDESERT","L-Desert"
"LS_LSLICE","L-Arctic"
"LS_LSLJUNGLE","L-Jungle"
"LS_LSOTEXT","A track file with this name already exists. Do you wish to overwrite this file?"
"LS_LSOTITLE","Confirm Track Overwrite"
"LS_LSSCITY","S-City"
"LS_LSSDESERT","S-Desert"
"LS_LSSICE","S-Arctic"
"LS_LSSJUNGLE","S-Jungle"
"MM_MMCONSTR","Construction"
"MM_MMQUTTTL","Exit LEGO Stunt Rally"
"MM_MMQUTTXT","Are you sure you want to exit?"
"MM_MMRACE","Racing"
"MPTITLE","Number of players"
"OP_OPBALANCE","Music Volume"
"OP_OPCNTRTL","Controller Conflict"
"OP_OPCNTRTX","The same controller is assigned to more than one player. Please reselect controllers."
"OP_OPEFFECTS","Video Effects"
"OP_OPPLAYER1","Player1"
"OP_OPPLAYER2","Player2"
"OP_OPPLAYER3","Player3"
"OP_OPPLAYER4","Player4"
"OP_OPRESCHNG","Please wait a few moments while LEGO Stunt Rally is restarted."
"OP_OPRESOLUTION","Resolution"
"OP_OPRESTL","Change Resolution"
"OP_OPTITLE","Game Options"
"OP_OPVOLUME","Sound Effects Volume"
"OP_RESFAILTL","Resolution Change failure"
"OP_RESFAILTX","Sorry LEGO stunt rally cannot support 800 by 600 screen resolution on this computer."
"OTHER_HEADIN3P","Unable to load Track"
"OTHER_IRDEMOMD","Demo Mode"
"OTHER_MULTI3P","Sorry! This track cannot be loaded in construction as it contains some LEGO you have not won yet. You can only play this track by loading it in multi player."
"OTHER_NOTRAKTL","No Tracks Found"
"OTHER_NOTRAKTX","Sorry there are no LEGO Stunt Rally tracks on this disk."
"OTHER_SINGLE3P","Sorry! This track cannot be loaded in construction as it contains some LEGO you have not won yet. You can only play this track by loading it in single player."
"PRCOMPUT","Computer"
"PRPLAYER","Player"
"PRPLYR1","Player 1"
"PRPLYR2","Player 2"
"PRPLYR3","Player 3"
"PRPLYR4","Player 4"
"PRTITLE","Ready to race"
"RACEMENU_PAUSECAP","Game Paused"
"RACEMENU_PAUSETEX","Do You Want It To Stop ?"
"RACEMENU_RERUNCAP","End of race"
"RACEMENU_RERUNTEX","Press x to quit, tick to retry"
"RM_RMCAMP","Championship"
"RM_RMMULTI","Multi Player"
"RM_RMQUICK","Quick Race"
"RM_RMSINGLE","Single Player"
"RM_RMTITLE","Select race"
"RO_ROCANCEL","Return to race"
"RO_ROQUIT","Quit Race"
"RO_RORESTART","Restart Race"
"RO_ROTITLE","Race Options"
"TSTITLE","Choose a track"
"WSTITLE","Choose Your Car"
"WSTITLE1","Player 1: Choose your car"
"WSTITLE2","Player 2: Choose your car"
"WSTITLE3","Player 3: Choose your car"
"WSTITLE4","Player 4: Choose your car"
"WSTNEXT","Next Player..."
