"keys","es"
"CA_CATITLE","Campeonato Rally de los Valientes"
"CAERRTI","Error de campaña"
"CAFREEFM","Este circuito no es válido"
"CN_CLSCANCEL","Cancelar"
"CN_CLSDELETE","Borrar circuito"
"CN_CLSLOAD","Cargar circuito"
"CN_CLSSAVE","Guardar circuito"
"CN_CLSTITLE","Cargar o guardar circuito"
"CN_CNSVCNT2","No has guardado el circuito actual. Si cargas un circuito nuevo, perderás los cambios del circuito actual. ¿Quieres continuar?"
"CN_CNSVCNTL","¡No has guardado el circuito!"
"CN_CNSVCNTX","No has guardado el circuito actual. ¿Quieres continuar?"
"CN_EXITTX","Pulsar barra espaciadora para salir"
"CN_NEWTRACK","Circuito nuevo"
"CS_CSTFLAM2","Ex-campeón del desierto"
"CS_CSTFLAMB","Campeón del desierto"
"CS_CSTGLAC2","Ex-campeón ártico"
"CS_CSTGLACI","Campeona ártico"
"CS_CSTMRX","Campeón mundial"
"CS_CSTMRX2","Ex-campeón mundial"
"CS_CSTRADI2","Ex-campeón de la ciudad"
"CS_CSTRADIU","Campeón de la ciudad"
"CS_CSTSNAK2","Ex-campeón de la jungla"
"CS_CSTSNAKE","Campeón de la jungla"
"CSTITLE","Elige tu personaje"
"CSTITLE1","Jugador 1: Elige tu personaje"
"CSTITLE2","Jugador 2: Elige tu personaje"
"CSTITLE3","Jugador 3: Elige tu personaje"
"CSTITLE4","Jugador 4: Elige tu personaje"
"CTTITLE","Opciones de controlador"
"CW_CW16X16MAP","Mapa un solo jugador"
"CW_CW8X8MAP","Mapa multijugador"
"CW_CWCANCEL","Cancelar"
"CW_CWTITLE","Empezar un mapa nuevo"
"DIBARNEY","Barney"
"DIBRAD","Brad el Rápido"
"DICHIP","Chip"
"DIFLAMBO","El Barón Flambo"
"DIGLACIA","Glacia"
"DILUCKY","Suertuda"
"DIMEGAHU","Mega Hurtz"
"DIMRX","Señor X"
"DIRADIUM","Radio"
"DISANDY","Sandy la Surfista"
"DISID","Sid el Despistado"
"DISNAKE","Serpiente"
"DISUBARN","-- placeholder --
Barney Info"
"DISUBRAD","-- placeholder --
Brad Speedo Info
(Has a really nice looking car!)"
"DISUCHIP","-- placeholder --
Chip Info"
