"keys","fr"
"CA_CATITLE","Championnat Stunt Rally"
"CAERRTI","Erreur de campagne"
"CAFREEFM","Circuit non valide"
"CN_CLSCANCEL","Annuler"
"CN_CLSDELETE","Supprimer circuit"
"CN_CLSLOAD","Charger le circuit"
"CN_CLSSAVE","Enregistrer le circuit"
"CN_CLSTITLE","Charger/enregistrer le circuit"
"CN_CNSVCNT2","Le circuit en cours n'a pas été enregistré. Si tu charges un nouveau circuit, toutes les modifications effectuées sur ce circuit seront perdues. Veux-tu continuer ?"
"CN_CNSVCNTL","Circuit non enregistré !"
"CN_CNSVCNTX","Le circuit en cours n'a pas été enregistré. Veux-tu continuer ?"
"CN_EXITTX","Barre d'espace pour quitter"
"CN_NEWTRACK","Nouveau circuit"
"CS_CSTFLAM2","Ex-champion"
"CS_CSTFLAMB","Champion"
"CS_CSTGLAC2","Ex-champion"
"CS_CSTGLACI","Champion"
"CS_CSTMRX","Champion"
"CS_CSTMRX2","Ex-champion"
"CS_CSTRADI2","Ex-champion"
"CS_CSTRADIU","Champion"
"CS_CSTSNAK2","Ex-champion"
"CS_CSTSNAKE","Champion"
"CSTITLE","Choisis ton personnage"
"CSTITLE1","Joueur 1 : choisis ton personnage"
"CSTITLE2","Joueur 2 : choisis ton personnage"
"CSTITLE3","Joueur 3 : choisis ton personnage"
"CSTITLE4","Joueur 4 : choisis ton personnage"
"CTTITLE","Options de manette"
"CW_CW16X16MAP","Carte Un joueur"
"CW_CW8X8MAP","Carte Multijoueur"
"CW_CWCANCEL","Annuler"
"CW_CWTITLE","Commencer une nouvelle carte"
"DIBARNEY","Barney"
"DIBRAD","Bob Rapido"
"DICHIP","Chip"
"DIFLAMBO","Baron Flambo"
"DIGLACIA","Glacia"
"DILUCKY","Lucie Vernie"
"DIMEGAHU","Mega Bobo"
"DIMRX","Monsieur X"
"DIRADIUM","Radium"
"DISANDY","Sandy Surf"
"DISID","Sid Vacant"
"DISNAKE","Piton"
"DISUBARN","-- placeholder --
Barney Info"
"DISUBRAD","-- placeholder --
Brad Speedo Info
(Has a really nice looking car!)"
"DISUCHIP","-- placeholder --
Chip Info"
"DISUFLAM","-- placeholder --
Car: Mean Machine
Home: Dark City
Loves: Cheating
Hates: Losing and Cherubs
Hobbies: Creating evil plans
Style: Dangerous
Special: Flaming exhaust"
"DISUGLAC","-- placeholder --
Glacia Info"
"DISULUCK","-- placeholder --
Lucky Info"
"DISUMEGA","-- placeholder --
Mega Hurtz Info"
"DISUMRX","-- placeholder --
Mr X Info"
"DISURADI","-- placeholder --
Radium Info"
"DISUSAND","-- placeholder --
Sandy Surf Info"
"DISUSID","-- placeholder --
Sid Info"
"DISUSNAK","-- placeholder --
Snake Info"
"DISUWREN","-- placeholder --
Wrench Info"
"DIWRENCH","Tourne Elvis"
"ER_ERTEXT","Veux-tu rejouer cette course ?"
"ER_ERTITLE","Rejouer la course ?"
"IR_IRRACEOVER","Terminé !"
"IR_IRWINNER","V a i n q u e u r"
"LOCAL3_EXTRAS_BDPRNTTL","Erreur d'impression"
"LOCAL3_EXTRAS_BDPRNTTX","Un problème s'est produit pendant l'impression. Vérifie ton imprimante."
"LOCAL3_EXTRAS_CONDELTL","Confirmer la suppression"
"LOCAL3_EXTRAS_CONDELTX","Es-tu sûr de vouloir supprimer définitivement ce circuit?"
"LOCAL3_EXTRAS_CONSAFTL","Circuit enregistré"
"LOCAL3_EXTRAS_CONSAFTX","Ton circuit a été correctement enregistré."
"LOCAL3_EXTRAS_FNPRINTTTL","Impression terminée"
"LOCAL3_EXTRAS_FNPRINTTTX","L'impression est terminée."
"LOCAL3_EXTRAS_PRINTINTL","Impression en cours"
"LOCAL3_EXTRAS_PRINTINTX","Patiente le temps que LEGO Stunt Rally ait terminé l'impression."
"LOCAL4_LSBDLDTL","Erreur de chargement"
"LOCAL4_LSBDLDTX","Stunt Rally n'a pas pu être chargé depuis le disque. Essaie de vérifier ton disque."
"LOCAL4_LSDLERTL","Echec de la suppression"
"LOCAL4_LSDLERTX","Impossible de supprimer ton circuit. Vérifie que ton disque ou ton fichier ne sont pas protégés en écriture."
"LS_CLSTEXT","Do you wish to LOAD or SAVE a track?"
"LS_CLSTITLE","Load Or Save"
"LS_LDFTEXT","Es-tu sûr de vouloir supprimer définitivement ce circuit?"
"LS_LDFTITLE","Confirmer la suppression"
"LS_LSETEXT","LEGO Stunt Rally n'a pas pu en registrer ton circuit. Assure-toi qu'il y a suffisamment d'espace disponible sur ton disque dur."
"LS_LSETITLE","Echec de l'enregistrement !"
"LS_LSLCITY","LVille"
"LS_LSLDESERT","LDésert"
"LS_LSLICE","Larctique"
"LS_LSLJUNGLE","Ljungle"
"LS_LSOTEXT","Un fichier circuit du même nom existe déjà. Veux-tu le remplacer ?"
"LS_LSOTITLE","Confirmer écrasement du circuit"
"LS_LSSCITY","SVille"
"LS_LSSDESERT","SDésert"
"LS_LSSICE","Sarctique"
"LS_LSSJUNGLE","Sjungle"
"MM_MMCONSTR","Construction"
"MM_MMQUTTTL","Quitter LEGO Stunt Rally"
"MM_MMQUTTXT","Veux-tu vraiment quitter ?"
"MM_MMRACE","Course"
"MPTITLE","Nombre de joueurs"
"OP_OPBALANCE","Vol. musique"
"OP_OPCNTRTL","Conflit de manette"
"OP_OPCNTRTX","La même manette est attribuée à plusieurs joueurs. Ré-attribue les manettes"
"OP_OPEFFECTS","Effets vidéo"
"OP_OPPLAYER1","Joueur1"
"OP_OPPLAYER2","Joueur2"
"OP_OPPLAYER3","Joueur3"
"OP_OPPLAYER4","Joueur4"
"OP_OPRESCHNG","Attends que LEGO Stunt Rally redémarre. Cela ne prendra que quelques instants."
"OP_OPRESOLUTION","Résolution"
"OP_OPRESTL","Changer la résolution"
"OP_OPTITLE","Options de jeu"
"OP_OPVOLUME","Vol. effets sonores"
"OP_RESFAILTL","Echec changement de résolution"
"OP_RESFAILTX","Désolé, LEGO Stunt Rally ne supporte pas la résolution d'écran 800 x 600 sur cet ordinateur."
"OTHER_HEADIN3P","Impossible de charger le circuit"
"OTHER_IRDEMOMD","Mode Démo"
"OTHER_MULTI3P","Désolé ! Ce circuit ne peut pas être chargé en mode Construction parce qu'il contient des LEGO que tu n'as pas encore gagnés. Tu ne peux charger ce circuit qu'en mode Multijoueur."
"OTHER_NOTRAKTL","Aucun circuit trouvé !"
"OTHER_NOTRAKTX","Désolé, il n'y a aucun circuit LEGO Stunt Rally sur ce disque !"
"OTHER_SINGLE3P","Désolé ! Ce circuit ne peut pas être chargé en mode Construction vu qu'il contient des LEGO que tu n'as pas encore gagnés. Tu ne peux charger ce circuit qu'en mode Un joueur."
"PRCOMPUT","Ordinateur"
"PRPLAYER","Joueur"
"PRPLYR1","Joueur 1"
"PRPLYR2","Joueur 2"
"PRPLYR3","Joueur 3"
"PRPLYR4","Joueur 4"
"PRTITLE","Prêt à courir"
"RACEMENU_PAUSECAP","Game Paused"
"RACEMENU_PAUSETEX","Do You Want It To Stop ?"
"RACEMENU_RERUNCAP","End of race"
"RACEMENU_RERUNTEX","Press x to quit, tick to retry"
"RM_RMCAMP","Championnat"
"RM_RMMULTI","Multijoueur"
"RM_RMQUICK","Course rapide"
"RM_RMSINGLE","Un joueur"
"RM_RMTITLE","Sélectionner une course"
"RO_ROCANCEL","Revenir à la course"
"RO_ROQUIT","Quitter la course"
"RO_RORESTART","Recommencer la course"
"RO_ROTITLE","Options de course"
"TSTITLE","Choisis un circuit"
"WSTITLE","Choisis une voiture"
"WSTITLE1","Joueur 1 : choisis ta voiture"
"WSTITLE2","Joueur 2 : choisis ta voiture"
"WSTITLE3","Joueur 3 : choisis ta voiture"
"WSTITLE4","Joueur 4 : choisis ta voiture"
"WSTNEXT","Next Player..."
