"keys","he"
"CA_CATITLE","אליפות לגו פעלולים"
"CAERRTI","שגיאה"
"CAFREEFM","זהו לא מסלול תקף."
"CN_CLSCANCEL","ביטול"
"CN_CLSDELETE","מחיקת מסלול"
"CN_CLSLOAD","טעינת מסלול"
"CN_CLSSAVE","שמירת מסלול"
"CN_CLSTITLE","טעינה, שמירה או מחיקת מסלול"
"CN_CNSVCNT2","המסלול הנוכחי אינו שמור. אם תטעינו מסלול חדש אז כל השינויים של המסלול הנוכחי ימחקו.
האם ברצונכם להמשיך?"
"CN_CNSVCNTL","המסלול לא נשמר!"
"CN_CNSVCNTX","המסלול הנוכחי לא נשמר. האם ברצונכם להמשיך?"
"CN_EXITTX","לחצו על המקש הארוך לצאת."
"CN_NEWTRACK","מסלול חדש"
"CS_CSTFLAM2","אלוף המדבר לשעבר"
"CS_CSTFLAMB","אלוף המדבר"
"CS_CSTGLAC2","אלוף הקוטב לשעבר"
"CS_CSTGLACI","אלוף הקוטב"
"CS_CSTMRX","אלוף העולם"
"CS_CSTMRX2","אלוף העולם לשעבר"
"CS_CSTRADI2","אלוף העיר לשעבר"
"CS_CSTRADIU","אלוף העיר"
"CS_CSTSNAK2","אלוף הג'ונגל לשעבר"
"CS_CSTSNAKE","אלוף הג'ונגל"
"CSTITLE","בחירת דמות"
"CSTITLE1","שחקן 1: בחר את הדמות שלך"
"CSTITLE2","שחקן 2: בחר את הדמות שלך"
"CSTITLE3","שחקן 3: בחר את הדמות שלך"
"CSTITLE4","שחקן 4: בחר את הדמות שלך"
"CTTITLE","אפשרויות אמצעי שליטה"
"CW_CW16X16MAP","מפה לשחקן יחיד"
"CW_CW8X8MAP","מפה למספר שחקנים"
"CW_CWCANCEL","ביטול"
"CW_CWTITLE","התחל מפה חדשה"
"DIBARNEY","בארני"
"DIBRAD","בראד ספידו"
"DICHIP","צ'יפ"
"DIFLAMBO","ברון פלמבו"
"DIGLACIA","גילה"
"DILUCKY","לאקי"
"DIMEGAHU","מגה הרץ"
"DIMRX","מר X"
"DIRADIUM","ראדיום"
"DISANDY","סנדי סרף"
"DISID","סיד פנאי"
"DISNAKE","סנייק"
"DIWRENCH","ראנץ'"
"ER_ERTEXT","האם ברצונכם לנסות להתחרות במרוץ שוב?"
"ER_ERTITLE","לנסות שוב?"
"IR_IRRACEOVER","סוף המרוץ"
"IR_IRWINNER","נ י צ ח ו ן !"
"LOCAL3_EXTRAS_BDPRNTTL","שגיאת הדפסה"
"LOCAL3_EXTRAS_BDPRNTTX","הדפסה לא הושלמה. נא לבדוק את המדפסת."
"LOCAL3_EXTRAS_CONDELTL","אישור מחיקת מסלול"
"LOCAL3_EXTRAS_CONDELTX","האם אתם בטוחים שברצונכם למחוק את המסלול הזה מהדיסק?"
"LOCAL3_EXTRAS_CONSAFTL","שמירת מסלול"
"LOCAL3_EXTRAS_CONSAFTX","המסלול נישמר בהצלחה."
"LOCAL3_EXTRAS_FNPRINTTTL","הדפסה הושלמה"
"LOCAL3_EXTRAS_FNPRINTTTX","הדפסה הושלמה."
