"keys","it"
"CA_CATITLE","Campionato Stunt Rally"
"CAERRTI","Errore nella campagna"
"CAFREEFM","Questo non è un tracciato valido"
"CN_CLSCANCEL","Annulla"
"CN_CLSDELETE","Elimina circuito"
"CN_CLSLOAD","Carica tracciato"
"CN_CLSSAVE","Salva tracciato"
"CN_CLSTITLE","Carica o salva tracciato"
"CN_CNSVCNT2","L'attuale tracciato non è stato salvato. Se carichi un nuovo tracciato, tutte le modifiche apportate andranno perse. 
Vuoi continuare?"
"CN_CNSVCNTL","Tracciato non salvato"
"CN_CNSVCNTX","L'attuale tracciato non è stato salvato. Vuoi continuare?"
"CN_EXITTX","Premi la barra per uscire"
"CN_NEWTRACK","Nuovo tracciato"
"CS_CSTFLAM2","Ex campione"
"CS_CSTFLAMB","Campione"
"CS_CSTGLAC2","Ex campione"
"CS_CSTGLACI","Campione"
"CS_CSTMRX","Campione"
"CS_CSTMRX2","Ex campione"
"CS_CSTRADI2","Ex campione"
"CS_CSTRADIU","Campione"
"CS_CSTSNAK2","Ex campione"
"CS_CSTSNAKE","Campione"
"CSTITLE","Scegli il personaggio"
"CSTITLE1","Giocatore 1: scegli il personaggio"
"CSTITLE2","Giocatore 2: scegli il personaggio"
"CSTITLE3","Giocatore 3: scegli il personaggio"
"CSTITLE4","Giocatore 4: scegli il personaggio"
"CTTITLE","Opzioni di controllo"
"CW_CW16X16MAP","Mappa singolo giocatore"
"CW_CW8X8MAP","Mappa multigiocatore"
"CW_CWCANCEL","Annulla"
"CW_CWTITLE","Inizia una nuova mappa"
"DIBARNEY","Barney"
"DIBRAD","Lampo"
"DICHIP","Chip"
"DIFLAMBO","Barone Fiammante"
"DIGLACIA","Glacia"
"DILUCKY","Fortunella"
"DIMEGAHU","Mega Hertz"
"DIMRX","Mr X"
"DIRADIUM","Radium"
"DISANDY","Sandy Surf"
"DISID","Punky"
"DISNAKE","Jena"
"DISUBARN","-- placeholder --
Barney Info"
"DISUBRAD","-- placeholder --
Brad Speedo Info
(Has a really nice looking car!)"
"DISUCHIP","-- placeholder --
Chip Info"
"DISUFLAM","-- placeholder --
Car: Mean Machine
Home: Dark City
Loves: Cheating
Hates: Losing and Cherubs
Hobbies: Creating evil plans
Style: Dangerous
Special: Flaming exhaust"
"DISUGLAC","-- placeholder --
Glacia Info"
"DISULUCK","-- placeholder --
Lucky Info"
"DISUMEGA","-- placeholder --
Mega Hurtz Info"
"DISUMRX","-- placeholder --
Mr X Info"
"DISURADI","-- placeholder --
Radium Info"
"DISUSAND","-- placeholder --
Sandy Surf Info"
"DISUSID","-- placeholder --
Sid Info"
"DISUSNAK","-- placeholder --
Snake Info"
"DISUWREN","-- placeholder --
Wrench Info"
"DIWRENCH","Bullone"
