"keys","ja"
"CA_CATITLE","スタントラリー チャンピオンシップ"
"CAERRTI","キャンペーンエラー"
"CAFREEFM","このサーキットは使えないよ。"
"CN_CLSCANCEL","やめる"
"CN_CLSDELETE","サーキットをけす"
"CN_CLSLOAD","サーキットをロード"
"CN_CLSSAVE","サーキットをセーブ"
"CN_CLSTITLE","ロード ＆ セーブ"
"CN_CNSVCNT2","セーブされていないよ。新しい
サーキットをロードすると今あ
るサーキットがきえちゃうよ。
つづけるかい？"
"CN_CNSVCNTL","かくにん"
"CN_CNSVCNTX","セーブされてないけど、
いいのかい？"
"CN_EXITTX","スペースでもどれるよ。"
"CN_NEWTRACK","新しいサーキット"
"CS_CSTFLAM2","さばくのチャンプ"
"CS_CSTFLAMB","さばくのチャンプ"
"CS_CSTGLAC2","氷のチャンプ"
"CS_CSTGLACI","氷のチャンプ"
"CS_CSTMRX","ワールドチャンプ"
"CS_CSTMRX2","ワールドチャンプ"
"CS_CSTRADI2","都市のチャンプ"
"CS_CSTRADIU","都市のチャンプ"
"CS_CSTSNAK2","ジャングルの王"
"CS_CSTSNAKE","ジャングルの王"
"CSTITLE","キャラクターをえらぶ"
"CSTITLE1","プレイヤー１：キャラクターをえらぶ"
"CSTITLE2","プレイヤー２：キャラクターをえらぶ"
"CSTITLE3","プレイヤー３：キャラクターをえらぶ"
"CSTITLE4","プレイヤー４：キャラクターをえらぶ"
"CTTITLE","コントローラーオプション"
"CW_CW16X16MAP","シングルプレイマップ"
"CW_CW8X8MAP","マルチプレイマップ"
"CW_CWCANCEL","やめる"
"CW_CWTITLE","新しいマップをはじめる"
"DIBARNEY","バーニー"
"DIBRAD","ブラッド"
"DICHIP","チップ"
"DIFLAMBO","バロン"
"DIGLACIA","グラシア"
"DILUCKY","ラッキー"
"DIMEGAHU","メガハーツ"
"DIMRX","ミスターＸ"
"DIRADIUM","ラジウム"
"DISANDY","サンディー"
"DISID","シド"
"DISNAKE","スネーク"
"DIWRENCH","レンチ"
"ER_ERTEXT","このレースをもう一度する？"
"ER_ERTITLE","　　　　リプレイメニュー"
"IR_IRRACEOVER","レース終了"
"IR_IRWINNER","勝者"
"LOCAL3_EXTRAS_BDPRNTTL","プリントエラー"
"LOCAL3_EXTRAS_BDPRNTTX","プリントが正常に終了しなかった
よ。プリンターをチェックしてね。"
"LOCAL3_EXTRAS_CONDELTL","かくにん"
"LOCAL3_EXTRAS_CONDELTX","このサーキットを完全にけしても
いいかい？"
"LOCAL3_EXTRAS_CONSAFTL","サーキットはセーブされたよ。"
"LOCAL3_EXTRAS_CONSAFTX","サーキットは正常にセーブできたよ。"
"LOCAL3_EXTRAS_FNPRINTTTL","プリントが終了したよ。"
"LOCAL3_EXTRAS_FNPRINTTTX","プリントは終了したよ。"
"LOCAL3_EXTRAS_PRINTINTL","プリント中"
"LOCAL3_EXTRAS_PRINTINTX","プリントするまでまっていてね。"
"LOCAL4_LSBDLDTL","ロードエラー"
"LOCAL4_LSBDLDTX","レゴ・スタントラリーをＣＤから
ロードできないよ。ＣＤをチェッ
クしてね。"
"LOCAL4_LSDLERTL","しっぱいをけす"
"LOCAL4_LSDLERTX","サーキットをけせないよ。ＣＤを
チェックするかファイルが保護
されていないか確認してね。"
"LS_CLSTEXT","サーキットをロード、またはセーブするかい？"
"LS_CLSTITLE","ロード または セーブ"
"LS_LDFTEXT","このサーキットをほんとうにけし
ていいのかい？"
"LS_LDFTITLE","サーキットをけす"
"LS_LSETEXT","サーキットをセーブできなかった
よ。ＣＤをチェックしてね。"
"LS_LSETITLE","サーキットのセーブにしっぱいし
たよ。"
"LS_LSLCITY","都市"
"LS_LSLDESERT","さばく"
"LS_LSLICE","アーティック"
"LS_LSLJUNGLE","ジャングル"
"LS_LSOTEXT","このなまえのファイルはすでに
あるよ。このファイルを上書き
するかい？"
"LS_LSOTITLE","サーキットの上書き"
"LS_LSSCITY","都市"
"LS_LSSDESERT","さばく"
"LS_LSSICE","アーティック"
"LS_LSSJUNGLE","ジャングル"
"MM_MMCONSTR_","つくる"
"MM_MMCONSTR"," "
"MM_MMQUTTTL","　　　　　終了メニュー"
"MM_MMQUTTXT","ほんとうにやめるのかい？"
"MM_MMRACE_","レース"
"MM_MMRACE"," "
"MPTITLE","プレイヤーの数"
"OP_OPBALANCE","ミュージック"
"OP_OPCNTRTL","コントローラー問題"
"OP_OPCNTRTX","同じコントローラー設定がほかの
プレイヤーにも設定されているよ。
もう一度設定しなおしてね。"
"OP_OPEFFECTS","ビデオ"
"OP_OPPLAYER1","ﾌﾟﾚｲﾔｰ 1"
"OP_OPPLAYER2","ﾌﾟﾚｲﾔｰ 2"
"OP_OPPLAYER3","ﾌﾟﾚｲﾔｰ 3"
"OP_OPPLAYER4","ﾌﾟﾚｲﾔｰ 4"
"OP_OPRESCHNG","レゴ・スタントラリーがもう一度
立ち上がるまでしばらくまってて
ね。"
"OP_OPRESOLUTION","画面の大きさ"
"OP_OPRESTL","画面の大きさの変更"
"OP_OPTITLE","オプション"
"OP_OPVOLUME","サウンド"
"OP_RESFAILTL","画面の大きさの変更のしっぱい"
"OP_RESFAILTX","使っているコンピュータは
800X600の画面サイズに
たいおうしていないよ。"
"OTHER_HEADIN3P","サーキットをロードできないよ。"
"OTHER_IRDEMOMD","デモモード"
"OTHER_MULTI3P","いくつかのレースで勝っていない
から「つくる」モードではこのサ
ーキットをロードできないよ。マ
ルチプレイモードでしかプレイで
きないよ。"
"OTHER_NOTRAKTL","サーキットを見つけれないよ。"
"OTHER_NOTRAKTX","このＣＤにはレゴ・スタントラリ
ーのサーキットはありません。"
"OTHER_SINGLE3P","いくつかのレースで勝っていな
いから「つくる」モードではこの
サーキットをロードできないよ。
シングルプレイモードでしかプレ
イできないよ。"
"PRCOMPUT","コンピュータ"
"PRPLAYER","プレイヤー"
"PRPLYR1","プレイヤー１"
"PRPLYR2","プレイヤー２"
"PRPLYR3","プレイヤー３"
"PRPLYR4","プレイヤー４"
"PRTITLE","たいせん相手"
"RACEMENU_PAUSECAP","ポーズ"
"RACEMENU_PAUSETEX","やめる？"
"RACEMENU_RERUNCAP","レース終了"
"RACEMENU_RERUNTEX","Ｘボタンを押すとやめることがで
きて、チェックボタンでもう一度
やりなおせるよ。"
"RM_RMCAMP_","チャンピオンシップ"
"RM_RMMULTI_","マルチプレイ"
"RM_RMQUICK_","クイックレース"
"RM_RMSINGLE_","シングルプレイ"
"RM_RMCAMP"," "
"RM_RMMULTI"," "
"RM_RMQUICK"," "
"RM_RMSINGLE"," "
"RM_RMTITLE","レースをえらぶ"
"RO_ROCANCEL","レースにもどる"
"RO_ROQUIT","レースをやめる"
"RO_RORESTART","リスタート"
"RO_ROTITLE","レースオプション"
"TSTITLE","サーキットをえらぶ"
"WSTITLE","マシンをえらぶ"
"WSTITLE1","プレイヤー１: マシンをえらぶ"
"WSTITLE2","プレイヤー２: マシンをえらぶ"
"WSTITLE3","プレイヤー３: マシンをえらぶ"
"WSTITLE4","プレイヤー４: マシンをえらぶ"
"WSTNEXT","次のプレイヤー..."
