"keys","nl"
"CA_CATITLE","Kampioenschap stuntrally"
"CAERRTI","Ongeschikte baan"
"CAFREEFM","Dit is geen geschikte baan"
"CN_CLSCANCEL","Annuleren"
"CN_CLSDELETE","Baan verwijderen"
"CN_CLSLOAD","Baan laden"
"CN_CLSSAVE","Baan opslaan"
"CN_CLSTITLE","Baan laden of opslaan"
"CN_CNSVCNT2","De baan die je gebruikte, is niet opgeslagen. Als je een nieuwe baan laadt, raak je de veranderingen aan de vorige baan kwijt. Wil je toch doorgaan?"
"CN_CNSVCNTL","Baan niet opgeslagen!"
"CN_CNSVCNTX","De baan die je gebruikte, is niet opgeslagen. Wil je toch doorgaan?"
"CN_EXITTX","Spatiebalk voor afsluiten"
"CN_NEWTRACK","Nieuwe baan"
"CS_CSTFLAM2","Vorige woestijnkampioen"
"CS_CSTFLAMB","Woestijnkampioen"
"CS_CSTGLAC2","Vorige poolkampioen"
"CS_CSTGLACI","Poolkampioen"
"CS_CSTMRX","Wereldkampioen"
"CS_CSTMRX2","Vorige wereldkampioen"
"CS_CSTRADI2","Vorige stadskampioen"
"CS_CSTRADIU","Stadskampioen"
"CS_CSTSNAK2","Vorige junglekampioen"
"CS_CSTSNAKE","Junglekampioen"
"CSTITLE","Kies een coureur"
"CSTITLE1","Speler 1: kies een coureur"
"CSTITLE2","Speler 2: kies een coureur"
"CSTITLE3","Speler 3: kies een coureur"
"CSTITLE4","Speler 4: kies een coureur"
"CTTITLE","Bedieningsopties"
"CW_CW16X16MAP","Zone voor een speler"
"CW_CW8X8MAP","Voor meerdere spelers"
"CW_CWCANCEL","Annuleren"
"CW_CWTITLE","Een nieuwe zone beginnen"
"DIBARNEY","Barney"
"DIBRAD","Brad Speedo"
"DICHIP","Chip"
"DIFLAMBO","Baron Flambo"
"DIGLACIA","Glacia"
"DILUCKY","Lucky"
"DIMEGAHU","Mega Hurtz"
"DIMRX","Mr X"
"DIRADIUM","Radium"
"DISANDY","Sandy Surf"
"DISID","Sid Vacant"
"DISNAKE","Snake"
"DISUBARN","-- placeholder --
Barney Info"
"DISUBRAD","-- placeholder --
Brad Speedo Info
(Has a really nice looking car!)"
"DISUCHIP","-- placeholder --
Chip Info"
"DISUFLAM","-- placeholder --
Car: Mean Machine
Home: Dark City
Loves: Cheating
Hates: Losing and Cherubs
Hobbies: Creating evil plans
Style: Dangerous
Special: Flaming exhaust"
"DISUGLAC","-- placeholder --
Glacia Info"
"DISULUCK","-- placeholder --
Lucky Info"
"DISUMEGA","-- placeholder --
Mega Hurtz Info"
"DISUMRX","-- placeholder --
Mr X Info"
"DISURADI","-- placeholder --
Radium Info"
"DISUSAND","-- placeholder --
Sandy Surf Info"
"DISUSID","-- placeholder --
Sid Info"
"DISUSNAK","-- placeholder --
Snake Info"
"DISUWREN","-- placeholder --
Wrench Info"
"DIWRENCH","Wrench"
"ER_ERTEXT","Wil je deze race nog eens doen?"
"ER_ERTITLE","Race nog eens spelen?"
"IR_IRRACEOVER","Einde race"
"IR_IRWINNER","W i n n a a r"
"LOCAL3_EXTRAS_BDPRNTTL","Fout bij afdrukken"
"LOCAL3_EXTRAS_BDPRNTTX","Afdrukken mislukt. Controleer de printer"
"LOCAL3_EXTRAS_CONDELTL","Baan verwijderen bevestigen"
"LOCAL3_EXTRAS_CONDELTX","Weet je zeker dat je deze baan wilt verwijderen?"
"LOCAL3_EXTRAS_CONSAFTL","Baan opgeslagen"
"LOCAL3_EXTRAS_CONSAFTX","Je baan is opgeslagen"
"LOCAL3_EXTRAS_FNPRINTTTL","Afdrukken beëindigd"
