"keys","no"
"CA_CATITLE","Stunt Rally-mesterskap"
"CAERRTI","Mesterskapsfeil"
"CAFREEFM","Dette er ikke en gyldig bane"
"CN_CLSCANCEL","Avbryt"
"CN_CLSDELETE","Slett bane"
"CN_CLSLOAD","Last inn bane"
"CN_CLSSAVE","Lagre bane"
"CN_CLSTITLE","Last inn eller lagre bane"
"CN_CNSVCNT2","Gjeldende bane er ikke lagret. Hvis du laster inn en ny bane, vil eventuelle endringer i gjeldende bane gå tapt. Vil du fortsette?"
"CN_CNSVCNTL","Banen er ikke lagret!"
"CN_CNSVCNTX","Gjeldende bane er ikke lagret. Vil du fortsette?"
"CN_EXITTX","Trykk på mellomrom for å avslutte"
"CN_NEWTRACK","Ny bane"
"CS_CSTFLAM2","Tidligere ørkenmester"
"CS_CSTFLAMB","Ørkenmester"
"CS_CSTGLAC2","Tidligere arktisk mester"
"CS_CSTGLACI","Arktisk mester"
"CS_CSTMRX","Verdensmester"
"CS_CSTMRX2","Tidligere verdensmester"
"CS_CSTRADI2","Tidligere bymester"
"CS_CSTRADIU","Bymester"
"CS_CSTSNAK2","Tidligere jungelmester"
"CS_CSTSNAKE","Jungelmester"
"CSTITLE","Velg person"
"CSTITLE1","Spiller 1: Velg person"
"CSTITLE2","Spiller 2: Velg person"
"CSTITLE3","Spiller 3: Velg person"
"CSTITLE4","Spiller 4: Velg person"
"CTTITLE","Kontrolleralternativer"
"CW_CW16X16MAP","Kart for én spiller"
"CW_CW8X8MAP","Kart for flere spillere"
"CW_CWCANCEL","Avbryt"
"CW_CWTITLE","Start nytt kart"
"DIBARNEY","Barney"
"DIBRAD","Brad Speedo"
"DICHIP","Chip"
"DIFLAMBO","Baron Flambo"
"DIGLACIA","Glacia"
"DILUCKY","Lucky"
"DIMEGAHU","Mega Hurtz"
"DIMRX","Herr X"
"DIRADIUM","Radium"
"DISANDY","Sandy Surf"
"DISID","Sid Vacant"
"DISNAKE","Snake"
"DISUBARN","-- placeholder --
Barney Info"
"DISUBRAD","-- placeholder --
Brad Speedo Info
(Has a really nice looking car!)"
"DISUCHIP","-- placeholder --
Chip Info"
"DISUFLAM","-- placeholder --
Car: Mean Machine
Home: Dark City
Loves: Cheating
Hates: Losing and Cherubs
Hobbies: Creating evil plans
Style: Dangerous
Special: Flaming exhaust"
"DISUGLAC","-- placeholder --
Glacia Info"
"DISULUCK","-- placeholder --
Lucky Info"
"DISUMEGA","-- placeholder --
Mega Hurtz Info"
"DISUMRX","-- placeholder --
Mr X Info"
"DISURADI","-- placeholder --
Radium Info"
"DISUSAND","-- placeholder --
Sandy Surf Info"
"DISUSID","-- placeholder --
Sid Info"
"DISUSNAK","-- placeholder --
Snake Info"
"DISUWREN","-- placeholder --
Wrench Info"
"DIWRENCH","Wrench"
"ER_ERTEXT","Vil du spille om igjen dette løpet?"
"ER_ERTITLE","Spille løpet på nytt?"
"IR_IRRACEOVER","Løp over"
"IR_IRWINNER","V i n n e r"
"LOCAL3_EXTRAS_BDPRNTTL","Utskriftsfeil."
"LOCAL3_EXTRAS_BDPRNTTX","Utskriften ble ikke fullført på riktig måte. Kontroller skriveren."
"LOCAL3_EXTRAS_CONDELTL","Bekreft at du vil slette banen"
"LOCAL3_EXTRAS_CONDELTX","Er du sikker på at du vil slette denne banen?"
"LOCAL3_EXTRAS_CONSAFTL","Banen er lagret."
"LOCAL3_EXTRAS_CONSAFTX","Lagring av banen var vellykket."
"LOCAL3_EXTRAS_FNPRINTTTL","Utskriften er ferdig."
"LOCAL3_EXTRAS_FNPRINTTTX","Utskriften er fullført."
"LOCAL3_EXTRAS_PRINTINTL","Utskrift pågår."
"LOCAL3_EXTRAS_PRINTINTX","Vennligst vent mens LEGO Stunt Rally fullfører utskriftsjobben."
"LOCAL4_LSBDLDTL","Innlastingsfeil"
"LOCAL4_LSBDLDTX","Stunt Rally kunne ikke laste inn fra disken. Vennligst kontroller disken."
"LOCAL4_LSDLERTL","Slettefeil"
"LOCAL4_LSDLERTX","Kan ikke slette banen. Kontroller at disken eller filen ikke er skrivebeskyttet."
"LS_CLSTEXT","Do you wish to LOAD or SAVE a track?"
"LS_CLSTITLE","Load Or Save"
"LS_LDFTEXT","Er du sikker på at du vil slette denne banen?"
"LS_LDFTITLE","Bekreft at du vil slette banen"
"LS_LSETEXT","LEGO Stunt Rally kunne ikke lagre banen. Kontroller disken."
"LS_LSETITLE","Kunne ikke lagre banen!"
"LS_LSLCITY","L-by"
"LS_LSLDESERT","L-ørken"
"LS_LSLICE","L-arktisk"
"LS_LSLJUNGLE","L-jungel"
"LS_LSOTEXT","Det finnes allerede en bane med dette navnet. Vil du overskrive filen?"
"LS_LSOTITLE","Bekreft overskriving av bane"
"LS_LSSCITY","S-by"
"LS_LSSDESERT","S-ørken"
"LS_LSSICE","S-arktisk"
"LS_LSSJUNGLE","S-jungel"
"MM_MMCONSTR","Bygging"
"MM_MMQUTTTL","Avslutt LEGO Stunt Rally"
"MM_MMQUTTXT","Er du sikker på at du vil avslutte?"
"MM_MMRACE","Løp"
"MPTITLE","Antall spillere"
"OP_OPBALANCE","Volum musikk"
"OP_OPCNTRTL","Kontrollerkonflikt"
"OP_OPCNTRTX","Den samme kontrolleren er tilordet til mer enn én spiller. Velg kontrollere på nytt."
"OP_OPEFFECTS","Videoeffekter"
"OP_OPPLAYER1","Spiller 1"
"OP_OPPLAYER2","Spiller 2"
"OP_OPPLAYER3","Spiller 3"
"OP_OPPLAYER4","Spiller 4"
"OP_OPRESCHNG","Vent et øyeblikk mens LEGO Stunt Rally startes på nytt."
"OP_OPRESOLUTION","Oppløsning"
"OP_OPRESTL","Endre oppløsning"
"OP_OPTITLE","Alternativer for spillet"
"OP_OPVOLUME","Volum lydeffekter"
"OP_RESFAILTL","Kunne ikke endre oppløsning."
"OP_RESFAILTX","Beklager. LEGO Stunt Rally kan ikke støtte skjermoppløsningen 800 x 600 på denne datamaskinen."
"OTHER_HEADIN3P","Kan ikke laste bane"
"OTHER_IRDEMOMD","Demomodus"
"OTHER_MULTI3P","Beklager. Denne banen kan ikke lastes inn i byggemodus, for den inneholder LEGO som du ikke har vunnet enda. Du kan spille med banen hvis du laster den inn i flerspillermodus."
"OTHER_NOTRAKTL","Finner ingen baner"
"OTHER_NOTRAKTX","Beklager. Det finnes ingen LEGO Stunt Rally-baner på denne disken."
"OTHER_SINGLE3P","Beklager. Denne banen kan ikke lastes inn i byggemodus, for den inneholder LEGO som du ikke har vunnet enda. Du kan spille med banen hvis du laster den inn i enspillermodus."
"PRCOMPUT","Datamaskinen"
"PRPLAYER","Spiller"
"PRPLYR1","Spiller 1"
"PRPLYR2","Spiller 2"
"PRPLYR3","Spiller 3"
"PRPLYR4","Spiller 4"
"PRTITLE","Klar for løp"
"RACEMENU_PAUSECAP","Game Paused"
"RACEMENU_PAUSETEX","Do You Want It To Stop ?"
"RACEMENU_RERUNCAP","End of race"
"RACEMENU_RERUNTEX","Press x to quit, tick to retry"
"RM_RMCAMP","Mesterskap"
"RM_RMMULTI","Flere spillere"
"RM_RMQUICK","Hurtigløp"
"RM_RMSINGLE","Én spiller"
"RM_RMTITLE","Velg løp"
"RO_ROCANCEL","Gå tilbake til løpet"
"RO_ROQUIT","Avslutt løpet"
"RO_RORESTART","Start løpet på nytt"
"RO_ROTITLE","Alternativer for løpet"
"TSTITLE","Velg bane"
"WSTITLE","Velg bil"
"WSTITLE1","Spiller 1: Velg bil"
"WSTITLE2","Spiller 2: Velg bil"
"WSTITLE3","Spiller 3: Velg bil"
"WSTITLE4","Spiller 4: Velg bil"
"WSTNEXT","Next Player..."
