"keys","pt"
"CA_CATITLE","Campeonato do Stunt Rally"
"CAERRTI","Erro de Campanha"
"CAFREEFM","Esta pista não é válida"
"CN_CLSCANCEL","Cancelar"
"CN_CLSDELETE","Apagar Pista"
"CN_CLSLOAD","Carregar pista"
"CN_CLSSAVE","Guardar pista"
"CN_CLSTITLE","Carregar ou guardar pista"
"CN_CNSVCNT2","A tua pista em uso não foi guardada. Se carregares um pista nova então todas as alterações da pista em uso se perdem. Queres continuar?"
"CN_CNSVCNTL","Pista não guardada!"
"CN_CNSVCNTX","A tua pista em uso não foi guardada. Queres continuar?"
"CN_EXITTX","Prime a barra de espaços para sair"
"CN_NEWTRACK","Pista nova"
"CS_CSTFLAM2","Ex-Campeão do deserto"
"CS_CSTFLAMB","Campeão do Deserto"
"CS_CSTGLAC2","Ex-Campeão  do Árctico"
"CS_CSTGLACI","Campeã do Árctico"
"CS_CSTMRX","Campeão do Mundo"
"CS_CSTMRX2","Ex-Campeão do Mundo"
"CS_CSTRADI2","Ex-Campeão da Cidade"
"CS_CSTRADIU","Campeão da Cidade"
"CS_CSTSNAK2","Ex-Campeão da Selva"
"CS_CSTSNAKE","Campeão da Selva"
"CSTITLE","Escolhe o personagem"
"CSTITLE1","Jogador1:Escolhe o teu personagem"
"CSTITLE2","Jogador2:Escolhe o teu personagem"
"CSTITLE3","Jogador3:Escolhe o teu personagem"
"CSTITLE4","Jogador4:Escolhe o teu personagem"
"CTTITLE","Opções de Comando"
"CW_CW16X16MAP","Mapa para um jogador só"
"CW_CW8X8MAP","Mapa para multi-jogador"
"CW_CWCANCEL","Cancelar"
"CW_CWTITLE","Começa um mapa novo"
"DIBARNEY","Barney"
"DIBRAD","Brad Speedo"
"DICHIP","Chip"
"DIFLAMBO","Baron Flambo"
"DIGLACIA","Glacia"
"DILUCKY","Lucky"
"DIMEGAHU","Mega Hurtz"
"DIMRX","Mr X"
"DIRADIUM","Radium"
"DISANDY","Sandy Surf"
"DISID","Sid Vacant"
"DISNAKE","Snake"
"DISUBARN","-- placeholder --
Barney Info"
"DISUBRAD","-- placeholder --
Brad Speedo Info
(Has a really nice looking car!)"
"DISUCHIP","-- placeholder --
Chip Info"
"DISUFLAM","-- placeholder --
Car: Mean Machine
Home: Dark City
Loves: Cheating
Hates: Losing and Cherubs
Hobbies: Creating evil plans
Style: Dangerous
Special: Flaming exhaust"
"DISUGLAC","-- placeholder --
Glacia Info"
"DISULUCK","-- placeholder --
Lucky Info"
"DISUMEGA","-- placeholder --
Mega Hurtz Info"
"DISUMRX","-- placeholder --
Mr X Info"
"DISURADI","-- placeholder --
Radium Info"
"DISUSAND","-- placeholder --
Sandy Surf Info"
"DISUSID","-- placeholder --
Sid Info"
"DISUSNAK","-- placeholder --
Snake Info"
"DISUWREN","-- placeholder --
Wrench Info"
"DIWRENCH","Wrench"
"ER_ERTEXT","Queres repetir esta corrida?"
"ER_ERTITLE","Repetir a corrida?"
"IR_IRRACEOVER","Fim de Prova"
"IR_IRWINNER","Vencedor"
"LOCAL3_EXTRAS_BDPRNTTL","Erro na Impressão"
"LOCAL3_EXTRAS_BDPRNTTX","Erro na Impressão. Por favor, verifica a tua impressora."
"LOCAL3_EXTRAS_CONDELTL","Confirmar Eliminação de Pista"
"LOCAL3_EXTRAS_CONDELTX","Tens a certeza que queres apagar esta pista?"
"LOCAL3_EXTRAS_CONSAFTL","Pista Guardada"
"LOCAL3_EXTRAS_CONSAFTX","Pista guardada com sucesso."
"LOCAL3_EXTRAS_FNPRINTTTL","Impressão Terminada"
"LOCAL3_EXTRAS_FNPRINTTTX","A impressão está completa."
"LOCAL3_EXTRAS_PRINTINTL","Impressão a decorrer"
"LOCAL3_EXTRAS_PRINTINTX","Por favor, aguarda enquanto o LEGO Stunt Rally completa o teu pedido de impressão."
"LOCAL4_LSBDLDTL","Erro ao carregar"
"LOCAL4_LSBDLDTX","Não é possível carregar o Stunt Rally do disco. Verifique o disco."
"LOCAL4_LSDLERTL","Erro ao eliminar"
"LOCAL4_LSDLERTX","Não é possível eliminar a pista. Certifique-se de que o disco ou o ficheiro não estão protegidos contra escrita."
"LS_CLSTEXT","Do you wish to LOAD or SAVE a track?"
"LS_CLSTITLE","Load Or Save"
"LS_LDFTEXT","De certeza que queres apagar permanentemente esta Pista?"
"LS_LDFTITLE","Confirmar Apagar Pista"
"LS_LSETEXT","LEGO Stunt Rally não pôde guardar a tua pista. Verifica o teu Disco."
"LS_LSETITLE","Falha na Gravação da Pista!"
"LS_LSLCITY","LCidade"
"LS_LSLDESERT","Ldeserto"
"LS_LSLICE","Lárctico"
"LS_LSLJUNGLE","Lselva"
"LS_LSOTEXT","Já existe uma pista com este nome. Queres substituir este ficheiro?"
"LS_LSOTITLE","Confirma a substituição da pista"
"LS_LSSCITY","SCidade"
"LS_LSSDESERT","Sdeserto"
"LS_LSSICE","Sárctico"
"LS_LSSJUNGLE","Sselva"
"MM_MMCONSTR","Construção"
"MM_MMQUTTTL","Sair do jogo"
"MM_MMQUTTXT","Tens a certeza que queres sair?"
"MM_MMRACE","Corrida"
"MPTITLE","Número de jogadores"
"OP_OPBALANCE","Volume de música"
"OP_OPCNTRTL","Conflito de Comandos"
"OP_OPCNTRTX","Está atribuído o mesmo comando a mais de um jogador. Por favor selecciona os comandos outra vez."
"OP_OPEFFECTS","Efeitos de vídeo"
"OP_OPPLAYER1","Jogador 1"
"OP_OPPLAYER2","Jogador 2"
"OP_OPPLAYER3","Jogador 3"
"OP_OPPLAYER4","Jogador 4"
"OP_OPRESCHNG","Por favor espera um pouco enquanto recomeça o LEGO Stunt Rally"
"OP_OPRESOLUTION","Resolução"
"OP_OPRESTL","Mudar Resolução"
"OP_OPTITLE","Opções de jogo"
"OP_OPVOLUME","Volume efeitos som"
"OP_RESFAILTL","Falha na mudança de Resolução"
"OP_RESFAILTX","Desculpa mas o LEGO Stunt Rally não suporta a Resolução de ecrã de 800x600 neste computador"
"OTHER_HEADIN3P","Impossível carregar a Pista"
"OTHER_IRDEMOMD","Demonstração"
"OTHER_MULTI3P","Esta pista não pode ser carregada em modo Construção porque contém LEGO a que ainda não tens acesso. Podes apenas jogar esta pista carregando-a em modo multi-jogador."
"OTHER_NOTRAKTL","Não foram encontradas Pistas."
"OTHER_NOTRAKTX","Não existem pistas do LEGO Stunt Rally neste disco."
"OTHER_SINGLE3P","Esta pista não pode ser carregada em modo Construção porque contém LEGO a que ainda não tens acesso. Podes apenas jogar esta pista carregando-a em modo de um só jogador."
"PRCOMPUT","Computador"
"PRPLAYER","Jogador"
"PRPLYR1","Jogador 1"
"PRPLYR2","Jogador 2"
"PRPLYR3","Jogador 3"
"PRPLYR4","Jogador 4"
"PRTITLE","Pronto para correr"
"RACEMENU_PAUSECAP","Game Paused"
"RACEMENU_PAUSETEX","Do You Want It To Stop ?"
"RACEMENU_RERUNCAP","End of race"
"RACEMENU_RERUNTEX","Press x to quit, tick to retry"
"RM_RMCAMP","Campeonato"
"RM_RMMULTI","Vários jogadores"
"RM_RMQUICK","Acelerar a Corrida"
"RM_RMSINGLE","Jogador único"
"RM_RMTITLE","Seleccionar Corrida"
"RO_ROCANCEL","Regressar à Corrida"
"RO_ROQUIT","Abandonar a Corrida"
"RO_RORESTART","Recomeçar Corrida"
"RO_ROTITLE","Opções de Corrida"
"TSTITLE","Escolhe uma pista"
"WSTITLE","Escolhe o teu carro"
"WSTITLE1","Jogador1:Escolhe o teu carro"
"WSTITLE2","Jogador2:Escolhe o teu carro"
"WSTITLE3","Jogador3:Escolhe o teu carro"
"WSTITLE4","Jogador4:Escolhe o teu carro"
"WSTNEXT","Next Player..."
