"keys","pt_BR"
"CSTITLE","Escolha seu personagem"
"CA_CATITLE","Campeonato de Stunt Rally"
"CAERRTI","Erro de Campanha"
"CAFREEFM","Esta não é uma pista válida."
"CN_CLSCANCEL","Cancelar"
"CN_CLSDELETE","Apagar Pista"
"CN_CLSLOAD","Carregar Pista"
"CN_CLSSAVE","Salvar Pista"
"CN_CLSTITLE","Carregar, Salvar ou Apagar Pista"
"CN_CNSVCNT2","Sua pista atual não foi salva. Se você carregar uma nova pista, quaisquer mudanças feitas em sua pista atual serão perdidas. Quer continuar?"
"CN_CNSVCNTL","Pista não salva!"
"CN_CNSVCNTX","Sua pista atual não foi salva. Deseja continuar?"
"CN_EXITTX","Pressione Espaço para sair."
"CN_NEWTRACK","Nova Pista"
"CS_CSTFLAM2","Ex-Campeão do Deserto"
"CS_CSTFLAMB","Campeão do Deserto"
"CS_CSTGLAC2","Ex-Campeão do Ártico"
"CS_CSTGLACI","Campeão do Ártico"
"CS_CSTMRX","Campeão Mundial"
"CS_CSTMRX2","Ex-Campeão Mundial"
"CS_CSTRADI2","Ex-Campeão da Cidade"
"CS_CSTRADIU","Campeão da Cidade"
"CS_CSTSNAK2","Ex-Campeão da Selva"
"CS_CSTSNAKE","Campeão da Selva"
"CSTITLE1","Jogador 1: Escolha seu personagem"
"CSTITLE2","Jogador 2: Escolha seu personagem"
"CSTITLE3","Jogador 3: Escolha seu personagem"
"CSTITLE4","Jogador 4: Escolha seu personagem"
"CTTITLE","Opções de Controle"
"CW_CW16X16MAP","Mapa de Um Jogador"
"CW_CW8X8MAP","Mapa de Vários Jogadores"
"CW_CWCANCEL","Cancelar"
"CW_CWTITLE","Iniciar Um Novo Mapa"
"DIBARNEY","Barney"
"DIBRAD","Brad Speedo"
"DICHIP","Chip"
"DIFLAMBO","Baron Flambo"
"DIGLACIA","Glacia"
"DILUCKY","Lucky"
"DIMEGAHU","Mega Hurtz"
"DIMRX","Mr X"
"DIRADIUM","Radium"
"DISANDY","Sandy Surf"
"DISID","Sid Vacant"
"DISNAKE","Snake"
"DISUBARN","-- placeholder --Dados sobre Barney"
"DISUBRAD","-- placeholder --Dados sobre Brad Speedo(Que carro bonito ele tem!)"
"DISUCHIP","-- placeholder --Dados sobre Chip"
"DISUFLAM","-- placeholder --Carro: Máquina MalignaCidade: Cidade NegraAdora: TrapacearOdeia: Perder e AnjinhosHobby: Criar planos malignosEstilo: PerigosoArma Especial: Lança-chamas"
