"keys","ru"
"CA_CATITLE","Чемпионат LEGO Stunt Rally"
"CAERRTI","Ошибка"
"CAFREEFM","Эта трасса непригодна"
"CN_CLSCANCEL","Отмена"
"CN_CLSDELETE","Удалить трассу"
"CN_CLSLOAD","Загрузить трассу"
"CN_CLSSAVE","Сохранить трассу"
"CN_CLSTITLE","Загрузить или сохранить трассу"
"CN_CNSVCNT2","Твоя трасса не была сохранена. Если ты загрузишь новую трассу, все изменения в этой трассе будут потеряны. Хочешь продолжить?"
"CN_CNSVCNTL","Трасса не сохранена!"
"CN_CNSVCNTX","Действующая сейчас трасса не сохранена. Продолжить?"
"CN_EXITTX","Чтобы выйти, нажми клавишу ""пробел"""
"CN_NEWTRACK","Новая трасса"
"CS_CSTFLAM2","Бывший чемпион Пустыни"
"CS_CSTFLAMB","Чемпион пустыни."
"CS_CSTGLAC2","Бывший чемпион Арктики"
"CS_CSTGLACI","Чемпион Арктики"
"CS_CSTMRX","Чемпион Мира"
"CS_CSTMRX2","Бывший чемпион Мира"
"CS_CSTRADI2","Бывший чемпион города"
"CS_CSTRADIU","Чемпион Города"
"CS_CSTSNAK2","Бывший чемпион Джунглей"
"CS_CSTSNAKE","Чемпион Джунглей"
"CSTITLE","Выбери гонщика"
"CSTITLE1","1 игрок: Выбери гонщика"
"CSTITLE2","2 игрок: Выбери гонщика"
"CSTITLE3","3 игрок: Выбери гонщика"
"CSTITLE4","4 игрок: Выбери гонщика"
"CTTITLE","Настройка управления"
"CW_CW16X16MAP","Карта для одного игрока"
"CW_CW8X8MAP","Карта для группы игроков"
"CW_CWCANCEL","Отмена"
"CW_CWTITLE","Открыть новую карту"
"DIBARNEY","Барни"
"DIBRAD","Брэд-Молния"
"DICHIP","Чип"
"DIFLAMBO","Барон Фламбо"
"DIGLACIA","Стужа"
"DILUCKY","Умница Лаки"
"DIMEGAHU","Мегагерц"
"DIMRX","Мистер Икс"
"DIRADIUM","Радий"
"DISANDY","Хиппи Сэнди"
"DISID","Сид-Сорвиголова"
"DISNAKE","Удав"
"DISUBARN","-- placeholder --
Barney Info"
"DISUBRAD","-- placeholder --
Brad Speedo Info
(Has a really nice looking car!)"
"DISUCHIP","-- placeholder --
Chip Info"
"DISUFLAM","-- placeholder --
Car: Mean Machine
Home: Dark City
Loves: Cheating
Hates: Losing and Cherubs
Hobbies: Creating evil plans
Style: Dangerous
Special: Flaming exhaust"
"DISUGLAC","-- placeholder --
Glacia Info"
"DISULUCK","-- placeholder --
Lucky Info"
"DISUMEGA","-- placeholder --
Mega Hurtz Info"
"DISUMRX","-- placeholder --
Mr X Info"
"DISURADI","-- placeholder --
Radium Info"
"DISUSAND","-- placeholder --
Sandy Surf Info"
"DISUSID","-- placeholder --
Sid Info"
"DISUSNAK","-- placeholder --
Snake Info"
"DISUWREN","-- placeholder --
Wrench Info"
"DIWRENCH","Ключ"
"ER_ERTEXT","Хочешь повторить эту гонку?"
"ER_ERTITLE","Повторить гонку?"
"IR_IRRACEOVER","Гонка окончена"
"IR_IRWINNER","Чемпион"
"LOCAL3_EXTRAS_BDPRNTTL","Ошибка печати"
"LOCAL3_EXTRAS_BDPRNTTX","Печать не была успешно завершена. Пожалуйста, проверь свой принтер."
"LOCAL3_EXTRAS_CONDELTL","Подтверждение удаления трассы"
"LOCAL3_EXTRAS_CONDELTX","Ты уверен, что хочешь безвозвратно удалить эту трассу?"
"LOCAL3_EXTRAS_CONSAFTL","Трасса сохранена"
"LOCAL3_EXTRAS_CONSAFTX","Твоя трасса была успешно сохранена."
"LOCAL3_EXTRAS_FNPRINTTTL","Печать окончена"
"LOCAL3_EXTRAS_FNPRINTTTX","Печать завершена."
"LOCAL3_EXTRAS_PRINTINTL","Идет печать..."
"LOCAL3_EXTRAS_PRINTINTX","Пожалуйста, подожди пока LEGO Рискованные Гонки завершит печать."
"LOCAL4_LSBDLDTL","Ошибка загрузки"
"LOCAL4_LSBDLDTX","Рискованные Гонки не могут быть запущенны с этого компакт-диска. Пожалуйста, проверь свой диск."
"LOCAL4_LSDLERTL","Удаление невозможно"
"LOCAL4_LSDLERTX","Невозможно удалить эту трассу. Возможно диск защищен от записи/чтения."
"LS_CLSTEXT","Ты хочешь загрузить или сохранить трассу?"
"LS_CLSTITLE","Загрузить или Сохранить"
"LS_LDFTEXT","Ты уверен, что хочешь удалить эту трассу?"
"LS_LDFTITLE","Подтверждение удаления трассы"
"LS_LSETEXT","Игра LEGO Stunt Rally не смогла сохранить твою трассу. Проверь свой диск."
"LS_LSETITLE","Не удалось сохранить трассу!"
"LS_LSLCITY","Город"
"LS_LSLDESERT","Пустыня"
"LS_LSLICE","Арктика"
"LS_LSLJUNGLE","Джунгли"
"LS_LSOTEXT","Трасса с таким названием уже есть.Заменить ее на новую?"
"LS_LSOTITLE","Подтверди изменения трассы"
"LS_LSSCITY","Город"
"LS_LSSDESERT","Пустыня"
"LS_LSSICE","Арктика"
"LS_LSSJUNGLE","Джунгли"
"MM_MMCONSTR","Конструирование"
"MM_MMQUTTTL","Выход из игры LEGO Stunt Rally"
"MM_MMQUTTXT","Ты уверен, что хочешь выйти?"
"MM_MMRACE","Гонки"
"MPTITLE","Количество игроков"
"OP_OPBALANCE","Громкость музыки"
"OP_OPCNTRTL","Конфликт управления"
"OP_OPCNTRTX","Один и тот же контроллер присвоен нескольким игрокам. Выбери другой контроллер."
"OP_OPEFFECTS","Видеоэффекты"
"OP_OPPLAYER1","1 игрок"
"OP_OPPLAYER2","2 игрок"
"OP_OPPLAYER3","3 игрок"
"OP_OPPLAYER4","4 игрок"
"OP_OPRESCHNG","Пожалуйста, подожди чуть-чуть, пока игра LEGO Stunt Rally запустится повторно."
"OP_OPRESOLUTION","Разрешение экрана"
"OP_OPRESTL","Изменить разрешение экрана"
"OP_OPTITLE","Настройки игры"
"OP_OPVOLUME","Громкость звука"
"OP_RESFAILTL","Не удалось изменить разрешение"
"OP_RESFAILTX","К сожалению, LEGO Stunt Rally не поддерживает разрешение экрана 800x600."
"OTHER_HEADIN3P","Невозможно загрузить трассу"
"OTHER_IRDEMOMD","Режим демонстрации"
"OTHER_MULTI3P","К сожалению, эту трассу нельзя загрузить для конструирования,  так как ты еще не получил все необходимые для неё призовые детали ЛЕГО. На ней можно проводить только гонку для нескольких участников."
"OTHER_NOTRAKTL","Трасс не найдено"
"OTHER_NOTRAKTX","К сожалению, на этом диске нет трасс для игры LEGO Рискованные Гонки."
"OTHER_SINGLE3P","К сожалению, эту трассу нельзя загрузить для конструирования,  так как ты еще не получил все необходимые для неё призовые детали ЛЕГО. Её можно загрузить только для гонок в режиме “Один игрок”."
"PRCOMPUT","Компьютер"
"PRHUMAN","Человек"
"PRPLAYER","Игрок"
"PRPLYR1","1 игрок"
"PRPLYR2","2 игрок"
"PRPLYR3","3 игрок"
"PRPLYR4","4 игрок"
"PRTITLE","К старту готов"
"RACEMENU_PAUSECAP","Игра приостановлена"
"RACEMENU_PAUSETEX","Хочешь остановить игру?"
"RACEMENU_RERUNCAP","Конец гонки"
"RACEMENU_RERUNTEX","Кликни x для выхода, галочку для повтора"
"RM_RMCAMP","Чемпионат"
"RM_RMMULTI","Несколько игроков"
