"keys","sv"
"CA_CATITLE","Mästerskap i Stunt-Rally"
"CAERRTI","Kampanjfel"
"CAFREEFM","Det här banan är inte giltig"
"CN_CLSCANCEL","Avbryt"
"CN_CLSDELETE","Ta bort bana"
"CN_CLSLOAD","Ladda bana"
"CN_CLSSAVE","Spara bana"
"CN_CLSTITLE","Ladda eller spara bana"
"CN_CNSVCNT2","Din aktuella bana har inte sparats. Om du laddar en ny bana kommer alla ändringar till den aktuella banan att gå förlorade. Vill du fortsätta?"
"CN_CNSVCNTL","Banan har inte sparats!"
"CN_CNSVCNTX","Din aktuella bana har inte sparats. Vill du fortsätta?"
"CN_EXITTX","Tryck på blanksteg för att avsluta"
"CN_NEWTRACK","Ny bana"
"CS_CSTFLAM2","F.d. ökenmästare"
"CS_CSTFLAMB","Ökenmästare"
"CS_CSTGLAC2","F.d. arktisk mästare"
"CS_CSTGLACI","Arktisk mästare"
"CS_CSTMRX","Världsmästare"
"CS_CSTMRX2","F.d världsmästare"
"CS_CSTRADI2","F.d. storstadsmästare"
"CS_CSTRADIU","Storstadsmästare"
"CS_CSTSNAK2","F.d. djungelmästare"
"CS_CSTSNAKE","Djungelmästare"
"CSTITLE","Välj figur"
"CSTITLE1","Spelare 1: Välj figur"
"CSTITLE2","Spelare 2: Välj figur"
"CSTITLE3","Spelare 3: Välj figur"
"CSTITLE4","Spelare 4: Välj figur"
"CTTITLE","Kontrollalternativ"
"CW_CW16X16MAP","Karta för en spelare"
"CW_CW8X8MAP","Karta för flera spelare"
"CW_CWCANCEL","Avbryt"
"CW_CWTITLE","Starta en ny karta"
"DIBARNEY","Barney"
"DIBRAD","Brad Speedo"
"DICHIP","Chip"
"DIFLAMBO","Baron Flambo"
"DIGLACIA","Glacia"
"DILUCKY","Lucky"
"DIMEGAHU","Mega Hurtz"
"DIMRX","Herr X"
"DIRADIUM","Radium"
"DISANDY","Sandy Surf"
"DISID","Sid Vacant"
"DISNAKE","Snake"
"DISUBARN","-- placeholder --
Barney Info"
"DISUBRAD","-- placeholder --
Brad Speedo Info
(Has a really nice looking car!)"
"DISUCHIP","-- placeholder --
Chip Info"
"DISUFLAM","-- placeholder --
Car: Mean Machine
Home: Dark City
Loves: Cheating
Hates: Losing and Cherubs
Hobbies: Creating evil plans
Style: Dangerous
Special: Flaming exhaust"
"DISUGLAC","-- placeholder --
Glacia Info"
"DISULUCK","-- placeholder --
Lucky Info"
"DISUMEGA","-- placeholder --
Mega Hurtz Info"
"DISUMRX","-- placeholder --
Mr X Info"
"DISURADI","-- placeholder --
Radium Info"
"DISUSAND","-- placeholder --
Sandy Surf Info"
"DISUSID","-- placeholder --
Sid Info"
"DISUSNAK","-- placeholder --
Snake Info"
"DISUWREN","-- placeholder --
Wrench Info"
"DIWRENCH","Wrench"
"ER_ERTEXT","Vill du köra loppet igen?"
"ER_ERTITLE","Köra loppet igen?"
"IR_IRRACEOVER","Racerloppet är avslutat"
"IR_IRWINNER","Vinnare"
"LOCAL3_EXTRAS_BDPRNTTL","Fel i utskrift"
"LOCAL3_EXTRAS_BDPRNTTX","Det gick inte att skriva ut. Kontrollera skrivaren."
"LOCAL3_EXTRAS_CONDELTL","Bekräfta banborttagning"
"LOCAL3_EXTRAS_CONDELTX","Vill du ta bort banan permanent?"
"LOCAL3_EXTRAS_CONSAFTL","Banan är sparad"
"LOCAL3_EXTRAS_CONSAFTX","Din bana är nu sparad"
"LOCAL3_EXTRAS_FNPRINTTTL","Utskrift klar"
"LOCAL3_EXTRAS_FNPRINTTTX","Utskriften är klar."
"LOCAL3_EXTRAS_PRINTINTL","Utskrift pågår"
